city,industry,income,workyear,degreefrom,quantity,url_link
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,01,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
010000,01,01,01,01,['共1页'],"http://search.51job.com/list/010000,000000,0000,02,9,02,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=02&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
020000,02,02,02,02,['共1页'],"http://search.51job.com/list/020000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=01&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
020000,02,02,02,02,['共1页'],"http://search.51job.com/list/020000,000000,0000,01,9,01,%2520,2,1.html?lang=c&stype=&postchannel=0000&workyear=01&cotype=99&degreefrom=02&jobterm=01&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=21&dibiaoid=0&address=&line=&specialarea=00&from=&welfare="
